voting_ID	date	time	title
1419516688	 25.12.2014	14:11:28	Поіменне голосування про повернення до розгляду  проекту Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562)
1419517764	 25.12.2014	14:29:24	Поіменне голосування  про проект Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562) - за основу
1419517796	 25.12.2014	14:29:56	Поіменне голосування  про повернення до розгляду проекту Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562) 
1419517817	 25.12.2014	14:30:17	Поіменне голосування  про проект Закону про заходи щодо стабілізації платіжного балансу України відповідно до статті ХІІ Генеральної угоди про тарифи й торгівлю 1994 року (№1562) - за основу
1419517929	 25.12.2014	14:32:09	Поіменне голосування  про проект Закону про внесення змін до Митного кодексу України (щодо стабілізації платіжного балансу) (№1563) - за основу
1419517971	 25.12.2014	14:32:51	Поіменне голосування  про  повернення до розгляду проекту Закону про внесення змін до Митного кодексу України (щодо стабілізації платіжного балансу) (№1563)
1419517997	 25.12.2014	14:33:17	Поіменне голосування  про проект Закону про внесення змін до Митного кодексу України (щодо стабілізації платіжного балансу) (№1563) - за основу
1419519283	 25.12.2014	14:54:43	Поіменне голосування  про проект Закону про реформування загальнообов'язкового державного соціального страхування та легалізацію фонду оплати праці (№1573) - за основу
1419519376	 25.12.2014	14:56:16	Поіменне голосування  про проект Закону про внесення змін до Митного кодексу України (щодо деяких питань відшкодування державою шкоди) (№1574) - за основу та в цілому
1419519443	 25.12.2014	14:57:23	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України (щодо деяких питань відшкодування державою шкоди) (№1575) - за основу та в цілому
1419520407	 25.12.2014	15:13:27	"Поіменне голосування  про проект Закону про внесення змін до статті 5 Закону України ""Про встановлення державної допомоги постраждалим учасникам масових акцій громадського протесту та членам їх сімей"" (щодо джерела покриття витрат) (№1592) - за основу"
1419521895	 25.12.2014	15:38:15	Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо спрощення умов ведення бізнесу (дерегуляція) (№1580) - за основу
1419522107	 25.12.2014	15:41:47	Поіменне голосування  про проект Постанови про формування комісії з проведення конкурсу на зайняття посади Директора Національного антикорупційного бюро України (№1614) - за основу та в цілому
1419522792	 25.12.2014	15:53:12	Поіменне голосування  про пропозицію Голови Верховної Ради України Гройсмана В.Б. щодо проектів законів №0001, №0001-1, №0001-2, №0001-3 
1419523448	 25.12.2014	16:04:08	Поіменне голосування  про проект Закону про заходи, спрямовані на сприяння капіталізації та реструктуризації банків (№1564) - за основу
1419524305	 25.12.2014	16:18:25	Поіменне голосування  про проект Постанови про звільнення суддів (№1624) - за основу та в цілому
1419524511	 25.12.2014	16:21:51	"Поіменне голосування  про проект Постанови про виконання рішення Європейського суду з прав людини у справі ""Олександр Волков проти України"" (щодо судді Верховного Суду України Волкова Олександра Федоровича) (№1352) - за основу та в цілому"
1419524730	 25.12.2014	16:25:30	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Державний бюджет України на 2014 рік"" (щодо виконання зобов'язань за державним боргом) (№1125) - за основу та в цілому"
1419524988	 25.12.2014	16:29:48	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про державну службу"" (щодо відтермінування набрання чинності) (№1072) - за основу та в цілому"
1419525796	 25.12.2014	16:43:16	Поіменне голосування  про проект Закону про внесення змін до Податкового кодексу України щодо особливостей уточнення податкових зобов'язань з податку на прибуток підприємств та податку на додану вартість у разі застосування податкового компромісу (№1071-д) - за основу та в цілому
1419526341	 25.12.2014	16:52:21	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про мораторій на стягнення майна громадян України, наданого як забезпечення кредитів в іноземній валюті"" щодо посилення захисту прав позичальників (№1610) - за основу"
1419526557	 25.12.2014	16:55:57	Поіменне голосування  про  внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання
1419526814	 25.12.2014	17:00:14	Поіменне голосування  про  внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання
1419526924	 25.12.2014	17:02:04	Поіменне голосування  про  внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання
1419526971	 25.12.2014	17:02:51	Поіменне голосування  про  внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання
1419527133	 25.12.2014	17:05:33	Поіменне голосування  про  внесення змін до календарного плану проведення першої сесії Верховної Ради України восьмого скликання
1419761685	 28.12.2014	10:14:45	Поіменне голосування  про включення до порядку денного сесії проекту Закону про забезпечення права на справедливий суд (№1656) 
1419761724	 28.12.2014	10:15:24	Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Бюджетного кодексу України (щодо надання пільг окремим категоріям громадян) (№1657) 
1419761761	 28.12.2014	10:16:01	Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законодавчих актів України щодо забезпечення діяльності Національного антикорупційного бюро України (№1660) 
1419761938	 28.12.2014	10:18:58	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Закону України ""Про судоустрій і статус суддів"" щодо удосконалення засад організації та функціонування судової влади відповідно до європейських стандартів (№1497) "
1419761962	 28.12.2014	10:19:22	Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законодавчих актів щодо забезпечення єдності судової практики (№1361)
1419761988	 28.12.2014	10:19:48	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Закону України ""Про судоустрій та статус суддів"" щодо встановлення реальної відповідальності суддів  (№1585)"
1419762010	 28.12.2014	10:20:10	"Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до Закону України ""Про судоустрій і статус суддів"" (щодо вдосконалення процедури переведення суддів)  (№1590)"
1419762079	 28.12.2014	10:21:19	Поіменне голосування  про розгляд за скороченою процедурою проектів законів №1605, №1499, №1499-1, №1505, №1505-1, №1498
1419763267	 28.12.2014	10:41:07	"Поіменне голосування  про проект Закону про внесення зміни до статті 46 Закону України ""Про прокуратуру"" (щодо умов для залучення фахівців) (№1605) - за основу та в цілому"
1419763614	 28.12.2014	10:46:54	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про безпечність та якість харчових продуктів"" (щодо реалізації на агропродовольчих ринках продукції домашнього виробництва та подвірного забою) (№1499-1) - за основу та в цілому"
1419763815	 28.12.2014	10:50:15	"Поіменне голосування  про проект Закону про внесення змін до пункту 3 розділу VIII ""Прикінцеві положення"" Закону України ""Про забезпечення реалізації житлових прав мешканців гуртожитків"" (щодо продовження строку мораторію на відчуження гуртожитків) (№1505-1) - за основу та в цілому"
1419764201	 28.12.2014	10:56:41	Поіменне голосування  про проект Закону про внесення змін до деяких законів України (щодо скасування ліцензування імпорту активних фармацевтичних інгредієнтів) (№1498) - за основу
1419764550	 28.12.2014	11:02:30	"Поіменне голосування  про поправку №7 народного депутата України Ємця Л.О. до проекту Закону про внесення змін до Закону України ""Про мораторій на стягнення майна громадян України, наданого як забезпечення кредитів в іноземній валюті"" щодо посилення захисту прав позичальників (№1610) "
1419764604	 28.12.2014	11:03:24	"Поіменне голосування  про поправку №8 народного депутата України Ємця Л.О. до проекту Закону про внесення змін до Закону України ""Про мораторій на стягнення майна громадян України, наданого як забезпечення кредитів в іноземній валюті"" щодо посилення захисту прав позичальників (№1610)"
